,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
769,769,54.0,13.0,"rotterdam, netherlands",dutch5,dutch,female,770,netherlands
846,846,46.0,10.0,"brussels, belgium",dutch6,dutch,female,847,belgium
895,895,35.0,12.0,"alphen aan de ryn, netherlands",dutch8,dutch,female,896,netherlands
896,896,68.0,12.0,"almelo, netherlands",dutch9,dutch,female,897,netherlands
1002,1002,33.0,10.0,"zwolle, netherlands",dutch13,dutch,female,1003,netherlands
1003,1003,35.0,12.0,"zwolle, netherlands",dutch14,dutch,female,1004,netherlands
1259,1259,23.0,12.0,"antwerp, belgium",dutch16,dutch,female,1260,belgium
1260,1260,21.0,12.0,"wilrijk, belgium",dutch17,dutch,female,1261,belgium
1262,1262,22.0,11.0,"heist-op-den-berg, belgium",dutch19,dutch,female,1263,belgium
1263,1263,21.0,13.0,"vlaams-brabant, belgium",dutch20,dutch,female,1264,belgium
1264,1264,21.0,13.0,"diest, belgium",dutch21,dutch,female,1265,belgium
1265,1265,23.0,13.0,"essen, belgium",dutch22,dutch,female,1266,belgium
1268,1268,23.0,14.0,"seoul, south korea",dutch24,dutch,female,1269,south korea
1269,1269,23.0,13.0,"wilrijk, belgium",dutch25,dutch,female,1270,belgium
1270,1270,23.0,13.0,"turnhout, belgium",dutch26,dutch,female,1271,belgium
1273,1273,21.0,13.0,"antwerp, belgium",dutch27,dutch,female,1274,belgium
1461,1461,21.0,14.0,"sint-niklaas, belgium",dutch30,dutch,female,1462,belgium
1462,1462,23.0,13.0,"antwerp, belgium",dutch31,dutch,female,1463,belgium
1465,1465,22.0,9.0,"mechelen, belgium",dutch33,dutch,female,1466,belgium
1467,1467,22.0,14.0,"bornem, belgium",dutch34,dutch,female,1468,belgium
1472,1472,21.0,13.0,"mortsel, belgium",dutch35,dutch,female,1473,belgium
1475,1475,21.0,12.0,"turnhout, belgium",dutch36,dutch,female,1476,belgium
1478,1478,21.0,11.0,"antwerp, belgium",dutch37,dutch,female,1479,belgium
1480,1480,21.0,12.0,"beveren, belgium",dutch38,dutch,female,1481,belgium
1481,1481,22.0,10.0,"hardinxveld-giessendam, netherlands",dutch39,dutch,female,1482,netherlands
1739,1739,21.0,12.0,"antwerp, belgium",dutch44,dutch,female,1740,belgium
1742,1742,22.0,12.0,"hulshout, belgium",dutch46,dutch,female,1743,belgium
2114,2114,37.0,11.0,"gouda, netherlands",dutch47,dutch,female,2115,netherlands
