,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
56,56,38.0,13.0,"nijmegen, netherlands",dutch1,dutch,male,57,netherlands
57,57,41.0,14.0,"amsterdam, netherlands",dutch2,dutch,male,58,netherlands
536,536,19.0,6.0,"alkmaar, netherlands",dutch3,dutch,male,537,netherlands
742,742,18.0,10.0,"bilzen, flanders, belgium",dutch4,dutch,male,743,belgium
894,894,68.0,10.0,"amsterdam, netherlands",dutch7,dutch,male,895,netherlands
912,912,39.0,12.0,"essen, belgium",dutch10,dutch,male,913,belgium
928,928,41.0,14.0,"brugge, belgium",dutch11,dutch,male,929,belgium
955,955,36.0,10.0,"oosterbeek, netherlands",dutch12,dutch,male,956,netherlands
1222,1222,23.0,10.0,"nunspeet, netherlands",dutch15,dutch,male,1223,netherlands
1261,1261,23.0,14.0,"antwerp, belgium",dutch18,dutch,male,1262,belgium
1267,1267,23.0,13.0,"antwerp, belgium",dutch23,dutch,male,1268,belgium
1274,1274,22.0,8.0,"antwerp, belgium",dutch28,dutch,male,1275,belgium
1299,1299,29.0,7.0,"ede, netherlands",dutch29,dutch,male,1300,netherlands
1463,1463,21.0,14.0,"brasschaat, belgium",dutch32,dutch,male,1464,belgium
1483,1483,25.0,9.0,"dordrecht, netherlands",dutch40,dutch,male,1484,netherlands
1516,1516,41.0,13.0,"deventer, netherlands",dutch41,dutch,male,1517,netherlands
1550,1550,36.0,8.0,"schiedam, netherlands",dutch42,dutch,male,1551,netherlands
1704,1704,21.0,11.0,"rotterdam, netherlands",dutch43,dutch,male,1705,netherlands
1741,1741,22.0,2.0,"sint niklaas, belgium",dutch45,dutch,male,1742,belgium
