,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
61,61,35.0,0.0,"davenport, iowa, usa",english10,english,female,62,usa
62,62,23.0,0.0,"miami, florida, usa",english100,english,female,63,usa
63,63,18.0,0.0,"toronto, ontario, canada",english101,english,female,64,canada
66,66,18.0,0.0,"youngstown, ohio, usa",english104,english,female,67,usa
67,67,35.0,0.0,"staffordshire, uk",english11,english,female,68,uk
68,68,71.0,0.0,"leicester, uk",english12,english,female,69,uk
71,71,7.0,0.0,"norton, virginia, usa",english15,english,female,72,usa
74,74,39.0,0.0,"dickenson county, virginia, usa",english18,english,female,75,usa
76,76,30.0,0.0,"birmingham, uk",english2,english,female,77,uk
77,77,27.0,0.0,"mt. holly, north carolina, usa",english20,english,female,78,usa
78,78,37.0,0.0,"boston, massachusetts, usa",english21,english,female,79,usa
79,79,25.0,0.0,"panama city, panama",english22,english,female,80,panama
84,84,37.0,0.0,"smith island, maryland, usa",english27,english,female,85,usa
86,86,54.0,0.0,"lindsay, ontario, canada",english29,english,female,87,canada
87,87,26.0,0.0,"brisbane, australia",english3,english,female,88,australia
88,88,30.0,0.0,"st. mary's, ontario, canada",english30,english,female,89,canada
89,89,31.0,0.0,"st. augustine, trinidad",english31,english,female,90,trinidad
90,90,50.0,0.0,"fresno, california, usa",english32,english,female,91,usa
92,92,18.0,0.0,"ronkonkoma, new york, usa",english34,english,female,93,usa
93,93,60.0,0.0,"milwaukee, wisconsin, usa",english35,english,female,94,usa
95,95,28.0,0.0,"yole, india",english37,english,female,96,india
97,97,59.0,0.0,"new orleans, louisiana, usa",english39,english,female,98,usa
98,98,53.0,0.0,"saint anne's bay, jamaica",english4,english,female,99,jamaica
103,103,63.0,0.0,"winston salem, north carolina, usa",english44,english,female,104,usa
106,106,76.0,0.0,"plantersville, arkansas, usa",english47,english,female,107,usa
110,110,29.0,0.0,"baltic, south dakota, usa",english50,english,female,111,usa
114,114,40.0,0.0,"new albany, indiana, usa",english54,english,female,115,usa
115,115,53.0,0.0,"st. louis, missouri, usa",english55,english,female,116,usa
118,118,46.0,0.0,"southhampton, uk",english58,english,female,119,uk
120,120,45.0,0.0,"brooklyn, new york, usa",english6,english,female,121,usa
125,125,25.0,0.0,"montreal, quebec, canada",english64,english,female,126,canada
138,138,18.0,0.0,"boston, massachusetts, usa",english76,english,female,139,usa
140,140,20.0,0.0,"caribou, maine, usa",english78,english,female,141,usa
142,142,21.0,0.0,"perth, australia",english8,english,female,143,australia
145,145,50.0,0.0,"chicago, illinois, usa",english82,english,female,146,usa
146,146,42.0,0.0,"winnfield, louisiana, usa",english83,english,female,147,usa
150,150,18.0,0.0,"tamworth, australia",english87,english,female,151,australia
153,153,48.0,0.0,"carthage, texas, usa",english9,english,female,154,usa
156,156,22.0,0.0,"wisconsin rapids, wisconsin, usa",english92,english,female,157,usa
157,157,22.0,0.0,"mamou, louisiana, usa",english93,english,female,158,usa
158,158,55.0,0.0,"pensacola, florida, usa",english94,english,female,159,usa
163,163,52.0,0.0,"pittsburgh, pennsylvania, usa",english99,english,female,164,usa
407,407,39.0,0.0,"los angeles, california, usa",english106,english,female,408,usa
419,419,26.0,0.0,"concord, new hampshire, usa",english109,english,female,420,usa
441,441,38.0,0.0,"birmingham 2, alabama, usa",english114,english,female,442,usa
444,444,60.0,0.0,"elmore, alabama, usa",english117,english,female,445,usa
454,454,32.0,0.0,"saskatoon, saskatchewan, canada",english119,english,female,455,canada
467,467,20.0,0.0,"kuala lumpur, malaysia",english122,english,female,468,malaysia
468,468,28.0,0.0,"riverside, california, usa",english123,english,female,469,usa
486,486,34.0,0.0,"cincinnati, ohio, usa",english126,english,female,487,usa
489,489,20.0,0.0,"miami, florida, usa",english128,english,female,490,usa
502,502,18.0,0.0,"toronto, ontario, canada",english132,english,female,503,canada
503,503,36.0,0.0,"norwich, new york, usa",english133,english,female,504,usa
505,505,22.0,0.0,"belfast, northern ireland, uk",english134,english,female,506,uk
509,509,25.0,0.0,"palmer, alaska, usa",english138,english,female,510,usa
522,522,40.0,0.0,"merced, california, usa",english147,english,female,523,usa
539,539,18.0,0.0,"washington, district of columbia, usa",english158,english,female,540,usa
541,541,21.0,0.0,"redwood falls, minnesota, usa",english160,english,female,542,usa
545,545,75.0,0.0,"wakefield, ohio, usa",english161,english,female,546,usa
547,547,41.0,0.0,"delaware, ohio, usa",english162,english,female,548,usa
549,549,43.0,0.0,"detroit, michigan, usa",english165,english,female,550,usa
555,555,50.0,0.0,"belmont, mississippi, usa",english170,english,female,556,usa
567,567,30.0,0.0,"kuching, sarawak, malaysia",english174,english,female,568,malaysia
572,572,18.0,0.0,"elizabeth city, north carolina, usa",english176,english,female,573,usa
573,573,23.0,0.0,"new orleans, louisiana, usa",english177,english,female,574,usa
594,594,55.0,0.0,"corriverton, guyana",english183,english,female,595,guyana
596,596,18.0,0.0,"hillsboro, oregon, usa",english184,english,female,597,usa
604,604,39.0,0.0,"gadsden, alabama, usa",english186,english,female,605,usa
605,605,42.0,0.0,"algona, iowa, usa",english187,english,female,606,usa
635,635,27.0,0.0,"east lansing, michigan, usa",english192,english,female,636,usa
638,638,21.0,0.0,"delavan, wisconsin, usa",english195,english,female,639,usa
653,653,50.0,0.0,"suva, fiji",english196,english,female,654,fiji
666,666,22.0,0.0,"berkeley, california, usa",english200,english,female,667,usa
667,667,26.0,0.0,"warren, michigan, usa",english201,english,female,668,usa
673,673,63.0,0.0,"boston, massachusetts, usa",english203,english,female,674,usa
678,678,45.0,0.0,"blue earth, minnesota, usa",english205,english,female,679,usa
679,679,35.0,0.0,"hucknall, nottinghamshire, england, uk",english206,english,female,680,uk
683,683,23.0,0.0,"wilkes-barre, pennsylvania, usa",english207,english,female,684,usa
701,701,28.0,0.0,"saint johns, antigua and barbuda",english209,english,female,702,antigua and barbuda
704,704,23.0,0.0,"trenton, nova scotia, canada",english210,english,female,705,canada
738,738,48.0,0.0,"chicago, illinois, usa",english216,english,female,739,usa
746,746,27.0,0.0,"abingdon, virginia, usa",english218,english,female,747,usa
747,747,38.0,0.0,"oakland, california, usa",english219,english,female,748,usa
748,748,18.0,0.0,"anaheim, california, usa",english220,english,female,749,usa
763,763,18.0,0.0,"auburn, indiana, usa",english222,english,female,764,usa
772,772,42.0,0.0,"camberley, surrey, uk",english227,english,female,773,uk
773,773,59.0,0.0,"glasgow, scotland, uk",english228,english,female,774,uk
