,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
60,60,42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,male,61,usa
64,64,22.0,0.0,"torrington, connecticut, usa",english102,english,male,65,usa
65,65,21.0,0.0,"staten island, new york, usa",english103,english,male,66,usa
69,69,69.0,0.0,"henley on thames, oxfordshire, uk",english13,english,male,70,uk
70,70,40.0,0.0,"belfast, northern ireland, uk",english14,english,male,71,uk
72,72,21.0,0.0,"wise, virginia, usa",english16,english,male,73,usa
73,73,79.0,0.0,"darwin va, virginia, usa",english17,english,male,74,usa
75,75,53.0,0.0,"louisville, kentucky, usa",english19,english,male,76,usa
80,80,43.0,0.0,"englewood, tennessee, usa",english23,english,male,81,usa
81,81,37.0,0.0,"glasgow, scotland, uk",english24,english,male,82,uk
82,82,57.0,0.0,"atlanta, georgia, usa",english25,english,male,83,usa
83,83,71.0,0.0,"smith island, maryland, usa",english26,english,male,84,usa
85,85,54.0,0.0,"toronto, ontario, canada",english28,english,male,86,canada
91,91,21.0,0.0,"san diego, california, usa",english33,english,male,92,usa
94,94,60.0,0.0,"arcadia, wisconsin, usa",english36,english,male,95,usa
96,96,27.0,0.0,"littlehampton, uk",english38,english,male,97,uk
99,99,53.0,0.0,"dudley, uk",english40,english,male,100,uk
100,100,44.0,0.0,"wellington, new zealand",english41,english,male,101,new zealand
101,101,65.0,0.0,"nigel, south africa",english42,english,male,102,south africa
102,102,47.0,0.0,"vancouver, british columbia, canada",english43,english,male,103,canada
104,104,52.0,0.0,"pine bluff, arkansas, usa",english45,english,male,105,usa
105,105,73.0,0.0,"creswell, north carolina, usa",english46,english,male,106,usa
107,107,26.0,0.0,"port moresby, national capital district, papua new guinea",english48,english,male,108,papua new guinea
108,108,43.0,0.0,"castro valley, california, usa",english49,english,male,109,usa
109,109,62.0,0.0,"fairfax, virginia, usa",english5,english,male,110,usa
111,111,67.0,0.0,"detroit, michigan, usa",english51,english,male,112,usa
112,112,20.0,0.0,"calgary, alberta, canada",english52,english,male,113,canada
113,113,63.0,0.0,"syracuse, new york, usa",english53,english,male,114,usa
116,116,20.0,0.0,"londonderry, northern ireland, uk",english56,english,male,117,uk
117,117,34.0,0.0,"birmingham 1, uk",english57,english,male,118,uk
119,119,30.0,0.0,"columbus, ohio, usa",english59,english,male,120,usa
121,121,18.0,0.0,"chesapeake, virginia, usa",english60,english,male,122,usa
122,122,19.0,0.0,"toronto, ontario, canada",english61,english,male,123,canada
123,123,30.0,0.0,"west jordan, utah, usa",english62,english,male,124,usa
124,124,21.0,0.0,"lewisville, texas, usa",english63,english,male,125,usa
126,126,47.0,0.0,"lewistown, pennsylvania, usa",english65,english,male,127,usa
127,127,19.0,0.0,"baltimore, maryland, usa",english66,english,male,128,usa
128,128,37.0,0.0,"princeton, indiana, usa",english67,english,male,129,usa
129,129,52.0,0.0,"new york, new york, usa",english68,english,male,130,usa
130,130,23.0,0.0,"adelaide, australia",english69,english,male,131,australia
131,131,52.0,0.0,"macon, mississippi, usa",english7,english,male,132,usa
132,132,21.0,0.0,"beaumont, texas, usa",english70,english,male,133,usa
133,133,20.0,0.0,"west covina, california, usa",english71,english,male,134,usa
134,134,31.0,0.0,"kilkenny, ireland",english72,english,male,135,ireland
135,135,24.0,0.0,"darwin, australia",english73,english,male,136,australia
136,136,21.0,0.0,"wichita, kansas, usa",english74,english,male,137,usa
137,137,32.0,0.0,"idaho falls, idaho, usa",english75,english,male,138,usa
139,139,26.0,0.0,"melbourne, australia",english77,english,male,140,australia
141,141,73.0,0.0,"boston, massachusetts, usa",english79,english,male,142,usa
143,143,34.0,0.0,"glasgow, scotland, uk",english80,english,male,144,uk
144,144,30.0,0.0,"st. paul, minnesota, usa",english81,english,male,145,usa
147,147,45.0,0.0,"sydney, australia",english84,english,male,148,australia
148,148,31.0,0.0,"strabane, northern ireland, uk",english85,english,male,149,uk
149,149,50.0,0.0,"charleston, south carolina, usa",english86,english,male,150,usa
151,151,18.0,0.0,"grand rapids, michigan, usa",english88,english,male,152,usa
152,152,18.0,0.0,"kingston ma, massachusetts, usa",english89,english,male,153,usa
