,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
188,188,48.0,12.0,"dusseldorf, germany",german1,german,female,189,germany
189,189,29.0,12.0,"bemberg, germany",german2,german,female,190,germany
190,190,19.0,12.0,"meissen, germany",german3,german,female,191,germany
191,191,19.0,11.0,"stuttgart, germany",german4,german,female,192,germany
639,639,20.0,11.0,"frankfurt, germany",german11,german,female,640,germany
650,650,29.0,14.0,"feldkirch, austria",german12,german,female,651,austria
651,651,54.0,13.0,"eschen, liechtenstein",german13,german,female,652,liechtenstein
674,674,30.0,10.0,"vienna, austria",german14,german,female,675,austria
880,880,31.0,11.0,"bremen, germany",german16,german,female,881,germany
881,881,53.0,10.0,"frankfurt, germany",german17,german,female,882,germany
927,927,19.0,11.0,"offenbach, germany",german19,german,female,928,germany
1063,1063,20.0,10.0,"villach, austria",german21,german,female,1064,austria
1091,1091,21.0,12.0,"elsterwerda, germany",german22,german,female,1092,germany
1442,1442,21.0,11.0,"geislingen, germany",german25,german,female,1443,germany
1451,1451,77.0,24.0,"stuttgart, germany",german26,german,female,1452,germany
1524,1524,19.0,10.0,"vienna, austria",german28,german,female,1525,austria
1618,1618,53.0,12.0,"coburg, germany",german29,german,female,1619,germany
1680,1680,32.0,8.0,"radstadt, austria",german30,german,female,1681,austria
1684,1684,21.0,10.0,"datteln, germany",german31,german,female,1685,germany
1706,1706,29.0,12.0,"niedersachsen, germany",german32,german,female,1707,germany
1971,1971,51.0,11.0,"ingolstadt, germany",german35,german,female,1972,germany
1993,1993,18.0,14.0,"hamburg, germany",german36,german,female,1994,germany
