,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
192,192,47.0,12.0,"halle, germany",german5,german,male,193,germany
193,193,28.0,8.0,"vienna, austria",german6,german,male,194,austria
500,500,20.0,11.0,"berlin, germany",german7,german,male,501,germany
544,544,25.0,10.0,"bernburg, germany",german8,german,male,545,germany
615,615,22.0,8.0,"wuppertal, germany",german9,german,male,616,germany
634,634,24.0,10.0,"darmstadt, germany",german10,german,male,635,germany
675,675,35.0,11.0,"innsbruck, austria",german15,german,male,676,austria
892,892,29.0,6.0,"bad aussee, austria",german18,german,male,893,austria
935,935,41.0,16.0,"chur, switzerland",german20,german,male,936,switzerland
1254,1254,24.0,11.0,"herdecke, germany",german23,german,male,1255,germany
1382,1382,27.0,10.0,"niedersachsen, germany",german24,german,male,1383,germany
1493,1493,23.0,10.0,"bielefeld, germany",german27,german,male,1494,germany
1876,1876,39.0,10.0,"stuttgart, germany",german33,german,male,1877,germany
1878,1878,28.0,11.0,"bochum, germany",german34,german,male,1879,germany
