,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
216,216,29.0,22.0,"carbonia, italy",italian1,italian,female,217,italy
219,219,47.0,11.0,"cremona, italy",italian4,italian,female,220,italy
472,472,32.0,15.0,"naples, italy",italian6,italian,female,473,italy
680,680,38.0,14.0,"bellinzona, switzerland",italian12,italian,female,681,switzerland
1176,1176,34.0,14.0,"cuneo, italy",italian23,italian,female,1177,italy
1405,1405,23.0,6.0,"milan, italy",italian24,italian,female,1406,italy
1542,1542,33.0,10.0,"milan, italy",italian27,italian,female,1543,italy
1685,1685,21.0,8.0,"trieste, italy",italian29,italian,female,1686,italy
1975,1975,59.0,23.0,"naples, italy",italian31,italian,female,1976,italy
2019,2019,78.0,50.0,"bitonto, italy",italian33,italian,female,2020,italy
