,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
217,217,46.0,18.0,"caltanissetta, sicily, italy",italian2,italian,male,218,italy
218,218,55.0,21.0,"florence, italy",italian3,italian,male,219,italy
439,439,52.0,25.0,"vicenza, veneto, italy",italian5,italian,male,440,italy
552,552,24.0,8.0,"naples, italy",italian7,italian,male,553,italy
588,588,43.0,10.0,"bari, italy",italian8,italian,male,589,italy
618,618,18.0,8.0,"turin, italy",italian9,italian,male,619,italy
626,626,48.0,12.0,"palermo, italy",italian10,italian,male,627,italy
640,640,30.0,18.0,"cagliari, italy",italian11,italian,male,641,italy
732,732,20.0,8.0,"enna, italy",italian13,italian,male,733,italy
760,760,20.0,8.0,"cosenza, italy",italian14,italian,male,761,italy
838,838,48.0,15.0,"forli, italy",italian15,italian,male,839,italy
941,941,40.0,14.0,"mantua, italy",italian16,italian,male,942,italy
994,994,28.0,14.0,"turin, italy",italian17,italian,male,995,italy
1042,1042,20.0,8.0,"grugliasco, italy",italian18,italian,male,1043,italy
1113,1113,19.0,11.0,"rome, italy",italian19,italian,male,1114,italy
1122,1122,32.0,15.0,"naples, italy",italian20,italian,male,1123,italy
1123,1123,42.0,20.0,"trento, italy",italian21,italian,male,1124,italy
1174,1174,23.0,6.0,"teramo, italy",italian22,italian,male,1175,italy
1321,1321,40.0,3.5,"wiesbaden, germany",italian25,italian,male,1322,germany
1488,1488,49.0,11.0,"siracusa, sicily, italy",italian26,italian,male,1489,italy
1678,1678,25.0,6.0,"rome, italy",italian28,italian,male,1679,italy
1740,1740,23.0,11.0,"bologna, italy",italian30,italian,male,1741,italy
1983,1983,49.0,14.0,"sardinia, italy",italian32,italian,male,1984,italy
