,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
220,220,25.0,12.0,"tokyo, japan",japanese1,japanese,female,221,japan
221,221,27.0,12.0,"tokyo, japan",japanese2,japanese,female,222,japan
222,222,49.0,12.0,"kofu, yamanashi prefecture, japan",japanese3,japanese,female,223,japan
224,224,25.0,12.0,"chiba, japan",japanese5,japanese,female,225,japan
225,225,30.0,10.0,"kawasaki, japan",japanese6,japanese,female,226,japan
826,826,26.0,12.0,"hakodate, japan",japanese10,japanese,female,827,japan
1045,1045,29.0,13.0,"toyama, japan",japanese11,japanese,female,1046,japan
1381,1381,37.0,12.0,"akashi, japan",japanese14,japanese,female,1382,japan
1536,1536,25.0,3.0,"clark field, philippines",japanese16,japanese,female,1537,philippines
1609,1609,44.0,13.0,"nara, japan",japanese17,japanese,female,1610,japan
1625,1625,52.0,13.0,"kyoto, japan",japanese18,japanese,female,1626,japan
1683,1683,57.0,13.0,"naha, japan",japanese19,japanese,female,1684,japan
1846,1846,53.0,13.0,"tokyo, japan",japanese21,japanese,female,1847,japan
1880,1880,69.0,12.0,"ashiya, japan",japanese22,japanese,female,1881,japan
1947,1947,40.0,13.0,"tokyo, japan",japanese24,japanese,female,1948,japan
1986,1986,52.0,13.0,"kyoto, japan",japanese25,japanese,female,1987,japan
1990,1990,44.0,13.0,"yokosuka, japan",japanese26,japanese,female,1991,japan
2122,2122,21.0,13.0,"tokyo, japan",japanese27,japanese,female,2123,japan
