,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
238,238,23.0,14.0,"taegu, south korea",korean2,korean,female,239,south korea
239,239,19.0,17.0,"seoul, south korea",korean3,korean,female,240,south korea
240,240,29.0,15.0,"seoul, south korea",korean4,korean,female,241,south korea
241,241,50.0,12.0,"seoul, south korea",korean5,korean,female,242,south korea
242,242,21.0,12.0,"sunchun, south korea",korean6,korean,female,243,south korea
451,451,39.0,13.0,"seoul, south korea",korean8,korean,female,452,south korea
758,758,50.0,12.0,"pusan, south korea",korean13,korean,female,759,south korea
891,891,22.0,8.0,"kota kinabalu, malaysia",korean14,korean,female,892,malaysia
1005,1005,30.0,13.0,"nonsan, south korea",korean16,korean,female,1006,south korea
1117,1117,21.0,14.0,"seoul, south korea",korean19,korean,female,1118,south korea
1125,1125,58.0,13.0,"inchon, south korea",korean20,korean,female,1126,south korea
1144,1144,19.0,8.0,"inchon, south korea",korean22,korean,female,1145,south korea
1195,1195,49.0,12.0,"seoul, south korea",korean23,korean,female,1196,south korea
1385,1385,34.0,12.0,"anseong, kyong gi, south korea",korean25,korean,female,1386,south korea
1662,1662,62.0,13.0,"seoul, south korea",korean28,korean,female,1663,south korea
1686,1686,19.0,8.0,"masan, south korea",korean29,korean,female,1687,south korea
1689,1689,49.0,14.0,"seoul, south korea",korean30,korean,female,1690,south korea
1695,1695,18.0,7.0,"seoul, south korea",korean31,korean,female,1696,south korea
1714,1714,35.0,28.0,"seoul, south korea",korean32,korean,female,1715,south korea
1721,1721,30.0,13.0,"seongnam, south korea",korean33,korean,female,1722,south korea
1813,1813,20.0,11.0,"seoul, south korea",korean34,korean,female,1814,south korea
1837,1837,51.0,12.0,"taegu, south korea",korean36,korean,female,1838,south korea
1842,1842,27.0,14.0,"seoul, south korea",korean37,korean,female,1843,south korea
1942,1942,21.0,17.0,"seoul, south korea",korean40,korean,female,1943,south korea
1945,1945,50.0,12.0,"seoul, south korea",korean41,korean,female,1946,south korea
2014,2014,21.0,21.0,"seoul, south korea",korean46,korean,female,2015,south korea
2097,2097,22.0,7.0,"an yang, south korea",korean49,korean,female,2098,south korea
2132,2132,57.0,13.0,"taejon, south korea",korean50,korean,female,2133,south korea
