,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
237,237,29.0,13.0,"ui jong bu, south korea",korean1,korean,male,238,south korea
243,243,32.0,10.0,"seoul, south korea",korean7,korean,male,244,south korea
473,473,34.0,12.0,"taejon, south korea",korean9,korean,male,474,south korea
482,482,34.0,13.0,"kwangju, south korea",korean10,korean,male,483,south korea
558,558,26.0,14.0,"seoul, south korea",korean11,korean,male,559,south korea
607,607,31.0,31.0,"sokcho, south korea",korean12,korean,male,608,south korea
1004,1004,42.0,40.0,"pusan, south korea",korean15,korean,male,1005,south korea
1006,1006,21.0,8.0,"cheju-do, south korea",korean17,korean,male,1007,south korea
1116,1116,25.0,7.0,"seoul, south korea",korean18,korean,male,1117,south korea
1141,1141,21.0,12.0,"ulsan, south korea",korean21,korean,male,1142,south korea
1369,1369,42.0,13.0,"seoul, south korea",korean24,korean,male,1370,south korea
1506,1506,23.0,21.0,"seoul, south korea",korean26,korean,male,1507,south korea
1623,1623,51.0,14.0,"haenam, south korea",korean27,korean,male,1624,south korea
1814,1814,48.0,12.0,"kwangju, south korea",korean35,korean,male,1815,south korea
1847,1847,25.0,10.0,"inchon, south korea",korean38,korean,male,1848,south korea
1861,1861,55.0,14.0,"pusan, south korea",korean39,korean,male,1862,south korea
1949,1949,26.0,3.0,"bayside, new york, usa",korean42,korean,male,1950,usa
1951,1951,20.0,13.0,"taejon, south korea",korean43,korean,male,1952,south korea
1970,1970,49.0,14.0,"inchon, south korea",korean44,korean,male,1971,south korea
1981,1981,28.0,13.0,"inchon, south korea",korean45,korean,male,1982,south korea
2057,2057,23.0,10.0,"seoul, south korea",korean47,korean,male,2058,south korea
2074,2074,32.0,27.0,"seoul, south korea",korean48,korean,male,2075,south korea
2133,2133,25.0,16.0,"seoul, south korea",korean51,korean,male,2134,south korea
2157,2157,40.0,12.0,"seoul, south korea",korean52,korean,male,2158,south korea
