,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
257,257,43.0,10.0,"jilin city, jilin, china",mandarin3,mandarin,male,258,china
261,261,22.0,5.0,"berkeley, california, usa",mandarin7,mandarin,male,262,usa
429,429,29.0,12.0,"jingmen, hubei, china",mandarin8,mandarin,male,430,china
450,450,38.0,12.0,"shanghai, china",mandarin9,mandarin,male,451,china
490,490,19.0,3.0,"beijing, china",mandarin10,mandarin,male,491,china
622,622,23.0,1.0,"singapore, singapore",mandarin12,mandarin,male,623,singapore
684,684,29.0,13.0,"nantou, taiwan",mandarin13,mandarin,male,685,taiwan
718,718,49.0,20.0,"dalian, liaoning, china",mandarin14,mandarin,male,719,china
749,749,32.0,10.0,"taipei, taiwan",mandarin16,mandarin,male,750,taiwan
795,795,26.0,13.0,"wuhan, hubei, china",mandarin17,mandarin,male,796,china
915,915,27.0,13.0,"qinzhou, guangxi, china",mandarin19,mandarin,male,916,china
1153,1153,18.0,15.0,"chengdu, sichuan, china",mandarin27,mandarin,male,1154,china
1446,1446,45.0,15.0,"shanghai, china",mandarin28,mandarin,male,1447,china
1489,1489,24.0,4.0,"lanzhou, gansu, china",mandarin29,mandarin,male,1490,china
1490,1490,27.0,13.0,"taipei, taiwan",mandarin30,mandarin,male,1491,taiwan
1540,1540,25.0,6.0,"beijing, china",mandarin33,mandarin,male,1541,china
1613,1613,28.0,12.0,"chengdu, sichuan, china",mandarin40,mandarin,male,1614,china
1629,1629,21.0,16.0,"hangzhou, zhejiang, china",mandarin44,mandarin,male,1630,china
1644,1644,37.0,12.0,"pingdingshan, henan, china",mandarin48,mandarin,male,1645,china
1735,1735,21.0,10.0,"shanghai, china",mandarin49,mandarin,male,1736,china
1787,1787,25.0,9.0,"hsinchu, taiwan",mandarin50,mandarin,male,1788,taiwan
1791,1791,25.0,10.0,"tianjin, hebei, china",mandarin51,mandarin,male,1792,china
1989,1989,20.0,12.0,"shanghai, china",mandarin57,mandarin,male,1990,china
1999,1999,23.0,7.0,"superior, colorado, usa",mandarin58,mandarin,male,2000,usa
2116,2116,24.0,7.0,"shanghai, china",mandarin62,mandarin,male,2117,china
2118,2118,27.0,12.0,"jiaozuo, henan, china",mandarin63,mandarin,male,2119,china
