,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
276,276,26.0,23.0,"janow, poland",polish1,polish,female,277,poland
277,277,26.0,25.0,"mielec, poland",polish2,polish,female,278,poland
278,278,31.0,12.0,"nowy sacz, poland",polish3,polish,female,279,poland
279,279,47.0,15.0,"krakow, poland",polish4,polish,female,280,poland
625,625,26.0,8.0,"torun, poland",polish6,polish,female,626,poland
840,840,23.0,15.0,"ostroleka, poland",polish9,polish,female,841,poland
841,841,30.0,15.0,"wolanow, poland",polish10,polish,female,842,poland
842,842,56.0,10.0,"warsaw, poland",polish11,polish,female,843,poland
1244,1244,25.0,9.0,"ketrzyn, poland",polish15,polish,female,1245,poland
1452,1452,33.0,13.0,"krakow, poland",polish17,polish,female,1453,poland
1624,1624,53.0,4.0,"gdansk, poland",polish20,polish,female,1625,poland
1653,1653,20.0,10.0,"koszalin, poland",polish24,polish,female,1654,poland
1744,1744,20.0,10.0,"koszalin, poland",polish28,polish,female,1745,poland
1748,1748,21.0,9.0,"koszalin, poland",polish30,polish,female,1749,poland
1917,1917,34.0,16.0,"trzebnica, poland",polish31,polish,female,1918,poland
2084,2084,48.0,12.0,"wroclaw, poland",polish34,polish,female,2085,poland
