,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
481,481,22.0,9.0,"ozarow maz, poland",polish5,polish,male,482,poland
727,727,20.0,6.0,"przemet, poland",polish7,polish,male,728,poland
768,768,20.0,11.0,"otwock, poland",polish8,polish,male,769,poland
882,882,40.0,20.0,"warsaw, poland",polish12,polish,male,883,poland
957,957,22.0,14.0,"gryfino, western pomerania, poland",polish13,polish,male,958,poland
1170,1170,97.0,35.0,"warsaw, poland",polish14,polish,male,1171,poland
1277,1277,19.0,8.0,"koszalin, poland",polish16,polish,male,1278,poland
1482,1482,18.0,5.0,"bialystok, poland",polish18,polish,male,1483,poland
1548,1548,24.0,7.0,"belchatow, poland",polish19,polish,male,1549,poland
1650,1650,30.0,10.0,"kolobrzeg, poland",polish21,polish,male,1651,poland
1651,1651,19.0,11.0,"koszalin, poland",polish22,polish,male,1652,poland
1652,1652,21.0,8.0,"lobez, poland",polish23,polish,male,1653,poland
1670,1670,20.0,11.0,"koszalin, poland",polish25,polish,male,1671,poland
1736,1736,19.0,16.0,"bytow, poland",polish26,polish,male,1737,poland
1737,1737,19.0,6.0,"koszalin, poland",polish27,polish,male,1738,poland
1747,1747,20.0,11.0,"sianow, poland",polish29,polish,male,1748,poland
2061,2061,42.0,14.0,"torun, poland",polish32,polish,male,2062,poland
2063,2063,21.0,7.0,"nowa ruda, poland",polish33,polish,male,2064,poland
