,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
280,280,37.0,16.0,"bahia, brazil",portuguese1,portuguese,female,281,brazil
282,282,18.0,10.0,"brasilia, brazil",portuguese2,portuguese,female,283,brazil
283,283,18.0,15.0,"blumenau, brazil",portuguese3,portuguese,female,284,brazil
494,494,40.0,7.0,"sao paulo, brazil",portuguese11,portuguese,female,495,brazil
811,811,50.0,12.0,"almada, portugal",portuguese18,portuguese,female,812,portugal
932,932,43.0,17.0,"luanda, angola",portuguese22,portuguese,female,933,angola
937,937,29.0,10.0,"curitiba, brazil",portuguese23,portuguese,female,938,brazil
959,959,22.0,11.0,"santos, brazil",portuguese24,portuguese,female,960,brazil
971,971,20.0,18.0,"rio de janeiro, brazil",portuguese25,portuguese,female,972,brazil
1108,1108,25.0,10.0,"campo grande, brazil",portuguese26,portuguese,female,1109,brazil
1127,1127,33.0,8.0,"sao paulo, brazil",portuguese27,portuguese,female,1128,brazil
1186,1186,36.0,10.0,"sao paulo, brazil",portuguese28,portuguese,female,1187,brazil
1284,1284,26.0,24.0,"juiz de fora, brazil",portuguese30,portuguese,female,1285,brazil
1388,1388,22.0,9.0,"sao paulo, brazil",portuguese35,portuguese,female,1389,brazil
1437,1437,39.0,15.0,"uberlandia, brazil",portuguese36,portuguese,female,1438,brazil
1453,1453,43.0,26.0,"sao paulo, brazil",portuguese37,portuguese,female,1454,brazil
1552,1552,26.0,8.0,"sao paulo, brazil",portuguese39,portuguese,female,1553,brazil
1921,1921,32.0,8.0,"coronel fabriciano, minas gerais, brazil",portuguese43,portuguese,female,1922,brazil
1929,1929,38.0,24.0,"rio de janeiro, brazil",portuguese44,portuguese,female,1930,brazil
1940,1940,19.0,7.0,"salvador, brazil",portuguese45,portuguese,female,1941,brazil
1988,1988,22.0,12.0,"rosario do sul, brazil",portuguese47,portuguese,female,1989,brazil
