,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
298,298,37.0,36.0,"nizhni novgorod, russia",russian1,russian,male,299,russia
300,300,54.0,13.0,"ola magadan, russia",russian11,russian,male,301,russia
307,307,66.0,12.0,"moscow, russia",russian8,russian,male,308,russia
308,308,23.0,7.0,"moscow, russia",russian9,russian,male,309,russia
459,459,62.0,53.0,"st. petersburg, russia",russian12,russian,male,460,russia
471,471,26.0,10.0,"moscow, russia",russian13,russian,male,472,russia
608,608,33.0,18.0,"pskov, russia",russian14,russian,male,609,russia
647,647,35.0,11.0,"minsk, belarus",russian16,russian,male,648,belarus
670,670,37.0,18.0,"pskov, russia",russian17,russian,male,671,russia
830,830,23.0,13.0,"komsomolsk-on-amur, russia",russian18,russian,male,831,russia
833,833,40.0,17.0,"zhezkazgan, kazakhstan",russian19,russian,male,834,kazakhstan
993,993,30.0,11.0,"riga, latvia",russian22,russian,male,994,latvia
1190,1190,21.0,14.0,"moscow, russia",russian27,russian,male,1191,russia
1253,1253,21.0,6.0,"chisinau, moldova",russian29,russian,male,1254,moldova
1278,1278,18.0,12.0,"stavropol, russia",russian30,russian,male,1279,russia
1310,1310,21.0,4.0,"tallinn, estonia",russian31,russian,male,1311,estonia
1406,1406,19.0,15.0,"vladivostok, russia",russian34,russian,male,1407,russia
1466,1466,27.0,16.0,"dresden, germany",russian35,russian,male,1467,germany
1517,1517,25.0,20.0,"moscow, russia",russian36,russian,male,1518,russia
1522,1522,31.0,10.0,"st. petersburg, russia",russian37,russian,male,1523,russia
1707,1707,84.0,18.0,"gomel, belarus",russian38,russian,male,1708,belarus
