,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
324,324,49.0,28.0,"lima, peru",spanish11,spanish,female,325,peru
326,326,29.0,11.0,"duitama, colombia",spanish13,spanish,female,327,colombia
327,327,34.0,15.0,"pereira, colombia",spanish14,spanish,female,328,colombia
330,330,22.0,9.0,"puebla, mexico",spanish17,spanish,female,331,mexico
332,332,25.0,17.0,"havana, cuba",spanish19,spanish,female,333,cuba
336,336,32.0,11.0,"madrid, spain",spanish22,spanish,female,337,spain
342,342,20.0,18.0,"san miguel, el salvador",spanish28,spanish,female,343,el salvador
343,343,17.0,16.0,"bogota, colombia",spanish3,spanish,female,344,colombia
344,344,21.0,17.0,"cabanas, el salvador",spanish4,spanish,female,345,el salvador
345,345,52.0,13.0,"bogota, colombia",spanish5,spanish,female,346,colombia
347,347,21.0,20.0,"bogota, colombia",spanish7,spanish,female,348,colombia
448,448,31.0,7.0,"guayaquil, ecuador",spanish31,spanish,female,449,ecuador
574,574,50.0,17.0,"tegucigalpa, honduras",spanish37,spanish,female,575,honduras
711,711,80.0,18.0,"bogota, colombia",spanish42,spanish,female,712,colombia
714,714,47.0,12.0,"santiago-dr, dominican republic",spanish45,spanish,female,715,dominican republic
715,715,37.0,4.0,"la romana, dominican republic",spanish44,spanish,female,716,dominican republic
717,717,25.0,12.0,"santo domingo, dominican republic",spanish47,spanish,female,718,dominican republic
776,776,29.0,21.0,"popayan, cauca, colombia",spanish52,spanish,female,777,colombia
907,907,31.0,5.0,"mayaguez, puerto rico",spanish59,spanish,female,908,puerto rico
914,914,18.0,9.0,"santiago-dr, dominican republic",spanish60,spanish,female,915,dominican republic
924,924,63.0,19.0,"buenos aires, argentina",spanish62,spanish,female,925,argentina
958,958,32.0,10.0,"la coruna, spain",spanish63,spanish,female,959,spain
1110,1110,48.0,14.0,"santa marta, colombia",spanish67,spanish,female,1111,colombia
1228,1228,20.0,7.0,"caracas, venezuela",spanish69,spanish,female,1229,venezuela
1229,1229,30.0,10.0,"bogota, colombia",spanish70,spanish,female,1230,colombia
1237,1237,20.0,5.0,"miami, florida, usa",spanish72,spanish,female,1238,usa
1272,1272,28.0,5.0,"lima, peru",spanish75,spanish,female,1273,peru
