,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
380,380,27.0,26.0,"bingol, turkey",turkish1,turkish,female,381,turkey
384,384,30.0,11.0,"istanbul, turkey",turkish5,turkish,female,385,turkey
633,633,24.0,23.0,"kocaeli, turkey",turkish11,turkish,female,634,turkey
685,685,18.0,3.0,"istanbul, turkey",turkish13,turkish,female,686,turkey
734,734,23.0,6.0,"istanbul, turkey",turkish14,turkish,female,735,turkey
1143,1143,19.0,9.0,"kocaeli, turkey",turkish20,turkish,female,1144,turkey
1209,1209,18.0,4.0,"istanbul, turkey",turkish21,turkish,female,1210,turkey
1290,1290,37.0,11.0,"adana, turkey",turkish23,turkish,female,1291,turkey
1729,1729,18.0,7.0,"istanbul, turkey",turkish27,turkish,female,1730,turkey
1771,1771,24.0,4.0,"istanbul, turkey",turkish28,turkish,female,1772,turkey
1807,1807,21.0,11.0,"ankara, turkey",turkish29,turkish,female,1808,turkey
1928,1928,24.0,11.0,"izmir, turkey",turkish30,turkish,female,1929,turkey
2047,2047,24.0,11.0,"izmir, turkey",turkish35,turkish,female,2048,turkey
2167,2167,26.0,12.0,"istanbul, turkey",turkish36,turkish,female,2168,turkey
