,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
381,381,24.0,16.0,"ankara, turkey",turkish2,turkish,male,382,turkey
382,382,27.0,12.0,"adana, turkey",turkish3,turkish,male,383,turkey
383,383,20.0,14.0,"kayseri, turkey",turkish4,turkish,male,384,turkey
385,385,19.0,14.0,"istanbul, turkey",turkish6,turkish,male,386,turkey
386,386,19.0,13.0,"izmir, turkey",turkish7,turkish,male,387,turkey
477,477,37.0,17.0,"sivas, turkey",turkish8,turkish,male,478,turkey
531,531,25.0,11.0,"istanbul, turkey",turkish9,turkish,male,532,turkey
577,577,27.0,11.0,"ankara, turkey",turkish10,turkish,male,578,turkey
671,671,25.0,20.0,"giresun, turkey",turkish12,turkish,male,672,turkey
735,735,18.0,10.0,"ankara, turkey",turkish15,turkish,male,736,turkey
744,744,25.0,12.0,"kars, turkey",turkish16,turkish,male,745,turkey
762,762,31.0,6.0,"ankara, turkey",turkish17,turkish,male,763,turkey
925,925,27.0,9.0,"stuttgart, germany",turkish18,turkish,male,926,germany
970,970,25.0,18.0,"istanbul, turkey",turkish19,turkish,male,971,turkey
1281,1281,23.0,6.0,"istanbul, turkey",turkish22,turkish,male,1282,turkey
1328,1328,31.0,12.0,"istanbul, turkey",turkish24,turkish,male,1329,turkey
1569,1569,32.0,26.0,"kars, turkey",turkish25,turkish,male,1570,turkey
1703,1703,45.0,22.0,"sivas, turkey",turkish26,turkish,male,1704,turkey
2031,2031,24.0,11.0,"diyarbakir, turkey",turkish31,turkish,male,2032,turkey
2032,2032,24.0,11.0,"diyarbakir, turkey",turkish32,turkish,male,2033,turkey
2033,2033,24.0,11.0,"diyarbakir, turkey",turkish33,turkish,male,2034,turkey
2034,2034,24.0,11.0,"diyarbakir, turkey",turkish34,turkish,male,2035,turkey
2173,2173,19.0,17.0,"panjakent, tajikistan",turkish37,turkish,male,2174,tajikistan
