,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,state
60,60,42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,male,61,usa,pennsylvania
61,61,35.0,0.0,"davenport, iowa, usa",english10,english,female,62,usa,iowa
62,62,23.0,0.0,"miami, florida, usa",english100,english,female,63,usa,florida
64,64,22.0,0.0,"torrington, connecticut, usa",english102,english,male,65,usa,connecticut
65,65,21.0,0.0,"staten island, new york, usa",english103,english,male,66,usa,new york
66,66,18.0,0.0,"youngstown, ohio, usa",english104,english,female,67,usa,ohio
71,71,7.0,0.0,"norton, virginia, usa",english15,english,female,72,usa,virginia
72,72,21.0,0.0,"wise, virginia, usa",english16,english,male,73,usa,virginia
73,73,79.0,0.0,"darwin va, virginia, usa",english17,english,male,74,usa,virginia
74,74,39.0,0.0,"dickenson county, virginia, usa",english18,english,female,75,usa,virginia
75,75,53.0,0.0,"louisville, kentucky, usa",english19,english,male,76,usa,kentucky
77,77,27.0,0.0,"mt. holly, north carolina, usa",english20,english,female,78,usa,north carolina
78,78,37.0,0.0,"boston, massachusetts, usa",english21,english,female,79,usa,massachusetts
80,80,43.0,0.0,"englewood, tennessee, usa",english23,english,male,81,usa,tennessee
82,82,57.0,0.0,"atlanta, georgia, usa",english25,english,male,83,usa,georgia
83,83,71.0,0.0,"smith island, maryland, usa",english26,english,male,84,usa,maryland
84,84,37.0,0.0,"smith island, maryland, usa",english27,english,female,85,usa,maryland
90,90,50.0,0.0,"fresno, california, usa",english32,english,female,91,usa,california
91,91,21.0,0.0,"san diego, california, usa",english33,english,male,92,usa,california
92,92,18.0,0.0,"ronkonkoma, new york, usa",english34,english,female,93,usa,new york
93,93,60.0,0.0,"milwaukee, wisconsin, usa",english35,english,female,94,usa,wisconsin
94,94,60.0,0.0,"arcadia, wisconsin, usa",english36,english,male,95,usa,wisconsin
97,97,59.0,0.0,"new orleans, louisiana, usa",english39,english,female,98,usa,louisiana
103,103,63.0,0.0,"winston salem, north carolina, usa",english44,english,female,104,usa,north carolina
104,104,52.0,0.0,"pine bluff, arkansas, usa",english45,english,male,105,usa,arkansas
105,105,73.0,0.0,"creswell, north carolina, usa",english46,english,male,106,usa,north carolina
106,106,76.0,0.0,"plantersville, arkansas, usa",english47,english,female,107,usa,arkansas
108,108,43.0,0.0,"castro valley, california, usa",english49,english,male,109,usa,california
109,109,62.0,0.0,"fairfax, virginia, usa",english5,english,male,110,usa,virginia
110,110,29.0,0.0,"baltic, south dakota, usa",english50,english,female,111,usa,south dakota
111,111,67.0,0.0,"detroit, michigan, usa",english51,english,male,112,usa,michigan
113,113,63.0,0.0,"syracuse, new york, usa",english53,english,male,114,usa,new york
114,114,40.0,0.0,"new albany, indiana, usa",english54,english,female,115,usa,indiana
115,115,53.0,0.0,"st. louis, missouri, usa",english55,english,female,116,usa,missouri
119,119,30.0,0.0,"columbus, ohio, usa",english59,english,male,120,usa,ohio
120,120,45.0,0.0,"brooklyn, new york, usa",english6,english,female,121,usa,new york
121,121,18.0,0.0,"chesapeake, virginia, usa",english60,english,male,122,usa,virginia
123,123,30.0,0.0,"west jordan, utah, usa",english62,english,male,124,usa,utah
124,124,21.0,0.0,"lewisville, texas, usa",english63,english,male,125,usa,texas
126,126,47.0,0.0,"lewistown, pennsylvania, usa",english65,english,male,127,usa,pennsylvania
127,127,19.0,0.0,"baltimore, maryland, usa",english66,english,male,128,usa,maryland
128,128,37.0,0.0,"princeton, indiana, usa",english67,english,male,129,usa,indiana
129,129,52.0,0.0,"new york, new york, usa",english68,english,male,130,usa,new york
131,131,52.0,0.0,"macon, mississippi, usa",english7,english,male,132,usa,mississippi
