,Unnamed: 0,age,age_onset,birthplace,filename,native_language,speakerid,country,state,male
60,60,42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,61,usa,pennsylvania,1.0
61,61,35.0,0.0,"davenport, iowa, usa",english10,english,62,usa,iowa,0.0
62,62,23.0,0.0,"miami, florida, usa",english100,english,63,usa,florida,0.0
64,64,22.0,0.0,"torrington, connecticut, usa",english102,english,65,usa,connecticut,1.0
65,65,21.0,0.0,"staten island, new york, usa",english103,english,66,usa,new york,1.0
66,66,18.0,0.0,"youngstown, ohio, usa",english104,english,67,usa,ohio,0.0
71,71,7.0,0.0,"norton, virginia, usa",english15,english,72,usa,virginia,0.0
72,72,21.0,0.0,"wise, virginia, usa",english16,english,73,usa,virginia,1.0
73,73,79.0,0.0,"darwin va, virginia, usa",english17,english,74,usa,virginia,1.0
74,74,39.0,0.0,"dickenson county, virginia, usa",english18,english,75,usa,virginia,0.0
75,75,53.0,0.0,"louisville, kentucky, usa",english19,english,76,usa,kentucky,1.0
77,77,27.0,0.0,"mt. holly, north carolina, usa",english20,english,78,usa,north carolina,0.0
78,78,37.0,0.0,"boston, massachusetts, usa",english21,english,79,usa,massachusetts,0.0
80,80,43.0,0.0,"englewood, tennessee, usa",english23,english,81,usa,tennessee,1.0
82,82,57.0,0.0,"atlanta, georgia, usa",english25,english,83,usa,georgia,1.0
83,83,71.0,0.0,"smith island, maryland, usa",english26,english,84,usa,maryland,1.0
84,84,37.0,0.0,"smith island, maryland, usa",english27,english,85,usa,maryland,0.0
90,90,50.0,0.0,"fresno, california, usa",english32,english,91,usa,california,0.0
91,91,21.0,0.0,"san diego, california, usa",english33,english,92,usa,california,1.0
92,92,18.0,0.0,"ronkonkoma, new york, usa",english34,english,93,usa,new york,0.0
93,93,60.0,0.0,"milwaukee, wisconsin, usa",english35,english,94,usa,wisconsin,0.0
94,94,60.0,0.0,"arcadia, wisconsin, usa",english36,english,95,usa,wisconsin,1.0
97,97,59.0,0.0,"new orleans, louisiana, usa",english39,english,98,usa,louisiana,0.0
103,103,63.0,0.0,"winston salem, north carolina, usa",english44,english,104,usa,north carolina,0.0
104,104,52.0,0.0,"pine bluff, arkansas, usa",english45,english,105,usa,arkansas,1.0
105,105,73.0,0.0,"creswell, north carolina, usa",english46,english,106,usa,north carolina,1.0
106,106,76.0,0.0,"plantersville, arkansas, usa",english47,english,107,usa,arkansas,0.0
108,108,43.0,0.0,"castro valley, california, usa",english49,english,109,usa,california,1.0
109,109,62.0,0.0,"fairfax, virginia, usa",english5,english,110,usa,virginia,1.0
110,110,29.0,0.0,"baltic, south dakota, usa",english50,english,111,usa,south dakota,0.0
111,111,67.0,0.0,"detroit, michigan, usa",english51,english,112,usa,michigan,1.0
113,113,63.0,0.0,"syracuse, new york, usa",english53,english,114,usa,new york,1.0
114,114,40.0,0.0,"new albany, indiana, usa",english54,english,115,usa,indiana,0.0
115,115,53.0,0.0,"st. louis, missouri, usa",english55,english,116,usa,missouri,0.0
119,119,30.0,0.0,"columbus, ohio, usa",english59,english,120,usa,ohio,1.0
120,120,45.0,0.0,"brooklyn, new york, usa",english6,english,121,usa,new york,0.0
121,121,18.0,0.0,"chesapeake, virginia, usa",english60,english,122,usa,virginia,1.0
123,123,30.0,0.0,"west jordan, utah, usa",english62,english,124,usa,utah,1.0
124,124,21.0,0.0,"lewisville, texas, usa",english63,english,125,usa,texas,1.0
126,126,47.0,0.0,"lewistown, pennsylvania, usa",english65,english,127,usa,pennsylvania,1.0
127,127,19.0,0.0,"baltimore, maryland, usa",english66,english,128,usa,maryland,1.0
128,128,37.0,0.0,"princeton, indiana, usa",english67,english,129,usa,indiana,1.0
129,129,52.0,0.0,"new york, new york, usa",english68,english,130,usa,new york,1.0
131,131,52.0,0.0,"macon, mississippi, usa",english7,english,132,usa,mississippi,1.0
132,132,21.0,0.0,"beaumont, texas, usa",english70,english,133,usa,texas,1.0
133,133,20.0,0.0,"west covina, california, usa",english71,english,134,usa,california,1.0
136,136,21.0,0.0,"wichita, kansas, usa",english74,english,137,usa,kansas,1.0
137,137,32.0,0.0,"idaho falls, idaho, usa",english75,english,138,usa,idaho,1.0
138,138,18.0,0.0,"boston, massachusetts, usa",english76,english,139,usa,massachusetts,0.0
140,140,20.0,0.0,"caribou, maine, usa",english78,english,141,usa,maine,0.0
141,141,73.0,0.0,"boston, massachusetts, usa",english79,english,142,usa,massachusetts,1.0
144,144,30.0,0.0,"st. paul, minnesota, usa",english81,english,145,usa,minnesota,1.0
145,145,50.0,0.0,"chicago, illinois, usa",english82,english,146,usa,illinois,0.0
146,146,42.0,0.0,"winnfield, louisiana, usa",english83,english,147,usa,louisiana,0.0
149,149,50.0,0.0,"charleston, south carolina, usa",english86,english,150,usa,south carolina,1.0
151,151,18.0,0.0,"grand rapids, michigan, usa",english88,english,152,usa,michigan,1.0
152,152,18.0,0.0,"kingston ma, massachusetts, usa",english89,english,153,usa,massachusetts,1.0
153,153,48.0,0.0,"carthage, texas, usa",english9,english,154,usa,texas,0.0
154,154,53.0,0.0,"pittsburgh, pennsylvania, usa",english90,english,155,usa,pennsylvania,1.0
156,156,22.0,0.0,"wisconsin rapids, wisconsin, usa",english92,english,157,usa,wisconsin,0.0
157,157,22.0,0.0,"mamou, louisiana, usa",english93,english,158,usa,louisiana,0.0
158,158,55.0,0.0,"pensacola, florida, usa",english94,english,159,usa,florida,0.0
159,159,18.0,0.0,"mishawaka, indiana, usa",english95,english,160,usa,indiana,1.0
160,160,31.0,0.0,"point pleasant, new jersey, usa",english96,english,161,usa,new jersey,1.0
161,161,42.0,0.0,"wilmington nc, north carolina, usa",english97,english,162,usa,north carolina,1.0
162,162,22.0,0.0,"spokane, washington, usa",english98,english,163,usa,washington,1.0
163,163,52.0,0.0,"pittsburgh, pennsylvania, usa",english99,english,164,usa,pennsylvania,0.0
407,407,39.0,0.0,"los angeles, california, usa",english106,english,408,usa,california,0.0
415,415,19.0,0.0,"chicago, illinois, usa",english107,english,416,usa,illinois,1.0
419,419,26.0,0.0,"concord, new hampshire, usa",english109,english,420,usa,new hampshire,0.0
441,441,38.0,0.0,"birmingham 2, alabama, usa",english114,english,442,usa,alabama,0.0
443,443,56.0,0.0,"atlanta, georgia, usa",english116,english,444,usa,georgia,1.0
444,444,60.0,0.0,"elmore, alabama, usa",english117,english,445,usa,alabama,0.0
445,445,19.0,0.0,"akron, ohio, usa",english118,english,446,usa,ohio,1.0
464,464,21.0,0.0,"waconia, minnesota, usa",english121,english,465,usa,minnesota,1.0
468,468,28.0,0.0,"riverside, california, usa",english123,english,469,usa,california,0.0
479,479,38.0,0.0,"brooklyn, new york, usa",english124,english,480,usa,new york,1.0
