,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,state
60,60,42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,male,61,usa,pennsylvania
64,64,22.0,0.0,"torrington, connecticut, usa",english102,english,male,65,usa,connecticut
65,65,21.0,0.0,"staten island, new york, usa",english103,english,male,66,usa,new york
72,72,21.0,0.0,"wise, virginia, usa",english16,english,male,73,usa,virginia
73,73,79.0,0.0,"darwin va, virginia, usa",english17,english,male,74,usa,virginia
75,75,53.0,0.0,"louisville, kentucky, usa",english19,english,male,76,usa,kentucky
80,80,43.0,0.0,"englewood, tennessee, usa",english23,english,male,81,usa,tennessee
82,82,57.0,0.0,"atlanta, georgia, usa",english25,english,male,83,usa,georgia
83,83,71.0,0.0,"smith island, maryland, usa",english26,english,male,84,usa,maryland
91,91,21.0,0.0,"san diego, california, usa",english33,english,male,92,usa,california
94,94,60.0,0.0,"arcadia, wisconsin, usa",english36,english,male,95,usa,wisconsin
104,104,52.0,0.0,"pine bluff, arkansas, usa",english45,english,male,105,usa,arkansas
105,105,73.0,0.0,"creswell, north carolina, usa",english46,english,male,106,usa,north carolina
108,108,43.0,0.0,"castro valley, california, usa",english49,english,male,109,usa,california
109,109,62.0,0.0,"fairfax, virginia, usa",english5,english,male,110,usa,virginia
111,111,67.0,0.0,"detroit, michigan, usa",english51,english,male,112,usa,michigan
113,113,63.0,0.0,"syracuse, new york, usa",english53,english,male,114,usa,new york
119,119,30.0,0.0,"columbus, ohio, usa",english59,english,male,120,usa,ohio
121,121,18.0,0.0,"chesapeake, virginia, usa",english60,english,male,122,usa,virginia
123,123,30.0,0.0,"west jordan, utah, usa",english62,english,male,124,usa,utah
124,124,21.0,0.0,"lewisville, texas, usa",english63,english,male,125,usa,texas
126,126,47.0,0.0,"lewistown, pennsylvania, usa",english65,english,male,127,usa,pennsylvania
127,127,19.0,0.0,"baltimore, maryland, usa",english66,english,male,128,usa,maryland
128,128,37.0,0.0,"princeton, indiana, usa",english67,english,male,129,usa,indiana
129,129,52.0,0.0,"new york, new york, usa",english68,english,male,130,usa,new york
131,131,52.0,0.0,"macon, mississippi, usa",english7,english,male,132,usa,mississippi
132,132,21.0,0.0,"beaumont, texas, usa",english70,english,male,133,usa,texas
133,133,20.0,0.0,"west covina, california, usa",english71,english,male,134,usa,california
136,136,21.0,0.0,"wichita, kansas, usa",english74,english,male,137,usa,kansas
137,137,32.0,0.0,"idaho falls, idaho, usa",english75,english,male,138,usa,idaho
141,141,73.0,0.0,"boston, massachusetts, usa",english79,english,male,142,usa,massachusetts
144,144,30.0,0.0,"st. paul, minnesota, usa",english81,english,male,145,usa,minnesota
149,149,50.0,0.0,"charleston, south carolina, usa",english86,english,male,150,usa,south carolina
151,151,18.0,0.0,"grand rapids, michigan, usa",english88,english,male,152,usa,michigan
152,152,18.0,0.0,"kingston ma, massachusetts, usa",english89,english,male,153,usa,massachusetts
154,154,53.0,0.0,"pittsburgh, pennsylvania, usa",english90,english,male,155,usa,pennsylvania
159,159,18.0,0.0,"mishawaka, indiana, usa",english95,english,male,160,usa,indiana
160,160,31.0,0.0,"point pleasant, new jersey, usa",english96,english,male,161,usa,new jersey
161,161,42.0,0.0,"wilmington nc, north carolina, usa",english97,english,male,162,usa,north carolina
162,162,22.0,0.0,"spokane, washington, usa",english98,english,male,163,usa,washington
415,415,19.0,0.0,"chicago, illinois, usa",english107,english,male,416,usa,illinois
443,443,56.0,0.0,"atlanta, georgia, usa",english116,english,male,444,usa,georgia
445,445,19.0,0.0,"akron, ohio, usa",english118,english,male,446,usa,ohio
464,464,21.0,0.0,"waconia, minnesota, usa",english121,english,male,465,usa,minnesota
479,479,38.0,0.0,"brooklyn, new york, usa",english124,english,male,480,usa,new york
488,488,39.0,0.0,"new britain, connecticut, usa",english127,english,male,489,usa,connecticut
496,496,23.0,0.0,"west palm beach, florida, usa",english131,english,male,497,usa,florida
506,506,22.0,0.0,"orange beach, alabama, usa",english135,english,male,507,usa,alabama
508,508,26.0,0.0,"charleston, west virginia, usa",english137,english,male,509,usa,west virginia
510,510,20.0,0.0,"providence, rhode island, usa",english139,english,male,511,usa,rhode island
516,516,19.0,0.0,"avon, new york, usa",english142,english,male,517,usa,new york
517,517,42.0,0.0,"minneapolis, minnesota, usa",english143,english,male,518,usa,minnesota
521,521,22.0,0.0,"blytheville, arkansas, usa",english146,english,male,522,usa,arkansas
525,525,18.0,0.0,"lawrenceville, georgia, usa",english149,english,male,526,usa,georgia
526,526,31.0,0.0,"brownsville, kentucky, usa",english150,english,male,527,usa,kentucky
527,527,18.0,0.0,"baltimore, maryland, usa",english151,english,male,528,usa,maryland
534,534,35.0,0.0,"oakland, california, usa",english155,english,male,535,usa,california
537,537,35.0,0.0,"fort worth, texas, usa",english157,english,male,538,usa,texas
546,546,41.0,0.0,"fairview park, ohio, usa",english163,english,male,547,usa,ohio
550,550,18.0,0.0,"glenside, pennsylvania, usa",english166,english,male,551,usa,pennsylvania
551,551,43.0,0.0,"lakeview, michigan, usa",english167,english,male,552,usa,michigan
553,553,40.0,0.0,"oceanside, california, usa",english168,english,male,554,usa,california
554,554,18.0,0.0,"cleveland, mississippi, usa",english169,english,male,555,usa,mississippi
562,562,21.0,0.0,"st. louis, missouri, usa",english171,english,male,563,usa,missouri
566,566,19.0,0.0,"libertyville, illinois, usa",english173,english,male,567,usa,illinois
571,571,24.0,0.0,"seattle, washington, usa",english175,english,male,572,usa,washington
582,582,30.0,0.0,"wilkes-barre, pennsylvania, usa",english178,english,male,583,usa,pennsylvania
583,583,57.0,0.0,"huron, south dakota, usa",english179,english,male,584,usa,south dakota
584,584,20.0,0.0,"newport, rhode island, usa",english180,english,male,585,usa,rhode island
585,585,68.0,0.0,"new eagle, pennsylvania, usa",english181,english,male,586,usa,pennsylvania
589,589,50.0,0.0,"troy, new york, usa",english182,english,male,590,usa,new york
616,616,19.0,0.0,"grand forks, north dakota, usa",english189,english,male,617,usa,north dakota
617,617,27.0,0.0,"oak park, illinois, usa",english190,english,male,618,usa,illinois
630,630,19.0,0.0,"las cruces, new mexico, usa",english191,english,male,631,usa,new mexico
636,636,32.0,0.0,"honolulu, hawaii, usa",english193,english,male,637,usa,hawaii
661,661,22.0,0.0,"iowa city, iowa, usa",english197,english,male,662,usa,iowa
662,662,56.0,0.0,"washington, district of columbia, usa",english198,english,male,663,usa,district of columbia
663,663,25.0,0.0,"bay shore, new york, usa",english199,english,male,664,usa,new york
672,672,19.0,0.0,"crisfield, maryland, usa",english202,english,male,673,usa,maryland
677,677,53.0,0.0,"chicago, illinois, usa",english204,english,male,678,usa,illinois
