,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,state
61,61,35.0,0.0,"davenport, iowa, usa",english10,english,female,62,usa,iowa
62,62,23.0,0.0,"miami, florida, usa",english100,english,female,63,usa,florida
66,66,18.0,0.0,"youngstown, ohio, usa",english104,english,female,67,usa,ohio
71,71,7.0,0.0,"norton, virginia, usa",english15,english,female,72,usa,virginia
74,74,39.0,0.0,"dickenson county, virginia, usa",english18,english,female,75,usa,virginia
77,77,27.0,0.0,"mt. holly, north carolina, usa",english20,english,female,78,usa,north carolina
78,78,37.0,0.0,"boston, massachusetts, usa",english21,english,female,79,usa,massachusetts
84,84,37.0,0.0,"smith island, maryland, usa",english27,english,female,85,usa,maryland
90,90,50.0,0.0,"fresno, california, usa",english32,english,female,91,usa,california
92,92,18.0,0.0,"ronkonkoma, new york, usa",english34,english,female,93,usa,new york
93,93,60.0,0.0,"milwaukee, wisconsin, usa",english35,english,female,94,usa,wisconsin
97,97,59.0,0.0,"new orleans, louisiana, usa",english39,english,female,98,usa,louisiana
103,103,63.0,0.0,"winston salem, north carolina, usa",english44,english,female,104,usa,north carolina
106,106,76.0,0.0,"plantersville, arkansas, usa",english47,english,female,107,usa,arkansas
110,110,29.0,0.0,"baltic, south dakota, usa",english50,english,female,111,usa,south dakota
114,114,40.0,0.0,"new albany, indiana, usa",english54,english,female,115,usa,indiana
115,115,53.0,0.0,"st. louis, missouri, usa",english55,english,female,116,usa,missouri
120,120,45.0,0.0,"brooklyn, new york, usa",english6,english,female,121,usa,new york
138,138,18.0,0.0,"boston, massachusetts, usa",english76,english,female,139,usa,massachusetts
140,140,20.0,0.0,"caribou, maine, usa",english78,english,female,141,usa,maine
145,145,50.0,0.0,"chicago, illinois, usa",english82,english,female,146,usa,illinois
146,146,42.0,0.0,"winnfield, louisiana, usa",english83,english,female,147,usa,louisiana
153,153,48.0,0.0,"carthage, texas, usa",english9,english,female,154,usa,texas
156,156,22.0,0.0,"wisconsin rapids, wisconsin, usa",english92,english,female,157,usa,wisconsin
157,157,22.0,0.0,"mamou, louisiana, usa",english93,english,female,158,usa,louisiana
158,158,55.0,0.0,"pensacola, florida, usa",english94,english,female,159,usa,florida
163,163,52.0,0.0,"pittsburgh, pennsylvania, usa",english99,english,female,164,usa,pennsylvania
407,407,39.0,0.0,"los angeles, california, usa",english106,english,female,408,usa,california
419,419,26.0,0.0,"concord, new hampshire, usa",english109,english,female,420,usa,new hampshire
441,441,38.0,0.0,"birmingham 2, alabama, usa",english114,english,female,442,usa,alabama
444,444,60.0,0.0,"elmore, alabama, usa",english117,english,female,445,usa,alabama
468,468,28.0,0.0,"riverside, california, usa",english123,english,female,469,usa,california
486,486,34.0,0.0,"cincinnati, ohio, usa",english126,english,female,487,usa,ohio
489,489,20.0,0.0,"miami, florida, usa",english128,english,female,490,usa,florida
