,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
60,60,42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,male,61,usa
61,61,35.0,0.0,"davenport, iowa, usa",english10,english,female,62,usa
62,62,23.0,0.0,"miami, florida, usa",english100,english,female,63,usa
63,63,18.0,0.0,"toronto, ontario, canada",english101,english,female,64,canada
64,64,22.0,0.0,"torrington, connecticut, usa",english102,english,male,65,usa
65,65,21.0,0.0,"staten island, new york, usa",english103,english,male,66,usa
66,66,18.0,0.0,"youngstown, ohio, usa",english104,english,female,67,usa
67,67,35.0,0.0,"staffordshire, uk",english11,english,female,68,uk
68,68,71.0,0.0,"leicester, uk",english12,english,female,69,uk
69,69,69.0,0.0,"henley on thames, oxfordshire, uk",english13,english,male,70,uk
70,70,40.0,0.0,"belfast, northern ireland, uk",english14,english,male,71,uk
71,71,7.0,0.0,"norton, virginia, usa",english15,english,female,72,usa
72,72,21.0,0.0,"wise, virginia, usa",english16,english,male,73,usa
73,73,79.0,0.0,"darwin va, virginia, usa",english17,english,male,74,usa
74,74,39.0,0.0,"dickenson county, virginia, usa",english18,english,female,75,usa
75,75,53.0,0.0,"louisville, kentucky, usa",english19,english,male,76,usa
76,76,30.0,0.0,"birmingham, uk",english2,english,female,77,uk
77,77,27.0,0.0,"mt. holly, north carolina, usa",english20,english,female,78,usa
78,78,37.0,0.0,"boston, massachusetts, usa",english21,english,female,79,usa
79,79,25.0,0.0,"panama city, panama",english22,english,female,80,panama
80,80,43.0,0.0,"englewood, tennessee, usa",english23,english,male,81,usa
81,81,37.0,0.0,"glasgow, scotland, uk",english24,english,male,82,uk
82,82,57.0,0.0,"atlanta, georgia, usa",english25,english,male,83,usa
83,83,71.0,0.0,"smith island, maryland, usa",english26,english,male,84,usa
84,84,37.0,0.0,"smith island, maryland, usa",english27,english,female,85,usa
85,85,54.0,0.0,"toronto, ontario, canada",english28,english,male,86,canada
86,86,54.0,0.0,"lindsay, ontario, canada",english29,english,female,87,canada
87,87,26.0,0.0,"brisbane, australia",english3,english,female,88,australia
88,88,30.0,0.0,"st. mary's, ontario, canada",english30,english,female,89,canada
89,89,31.0,0.0,"st. augustine, trinidad",english31,english,female,90,trinidad
90,90,50.0,0.0,"fresno, california, usa",english32,english,female,91,usa
91,91,21.0,0.0,"san diego, california, usa",english33,english,male,92,usa
92,92,18.0,0.0,"ronkonkoma, new york, usa",english34,english,female,93,usa
93,93,60.0,0.0,"milwaukee, wisconsin, usa",english35,english,female,94,usa
