,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country
0,0,27.0,9.0,"virginia, south africa",afrikaans1,afrikaans,female,1,south africa
1,1,40.0,5.0,"pretoria, south africa",afrikaans2,afrikaans,male,2,south africa
2,2,25.0,15.0,"diekabo, ivory coast",agni1,agni,male,3,ivory coast
3,3,19.0,6.0,"prishtina, kosovo",albanian1,albanian,male,4,kosovo
4,4,33.0,15.0,"tirana, albania",albanian2,albanian,male,5,albania
5,5,20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia
6,6,23.0,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia
7,7,27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia
8,8,20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia
9,9,31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia
10,10,38.0,12.0,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia
11,11,26.0,5.0,"cairo, egypt",arabic10,arabic,male,12,egypt
12,12,30.0,14.0,"monastir, tunisia",arabic11,arabic,female,13,tunisia
13,13,32.0,11.0,"baghdad, iraq",arabic12,arabic,male,14,iraq
14,14,25.0,15.0,"zabbougha, lebanon",arabic13,arabic,male,15,lebanon
15,15,18.0,2.5,"damascus, syria",arabic2,arabic,male,16,syria
16,16,24.0,9.0,"doha, qatar",arabic3,arabic,male,17,qatar
17,17,19.0,6.0,"sharjah, united arab emirates",arabic4,arabic,male,18,united arab emirates
18,18,19.0,15.0,"casablanca, morocco",arabic5,arabic,female,19,morocco
19,19,21.0,14.5,"sanaa, yemen",arabic6,arabic,male,20,yemen
20,20,18.0,15.0,"casablanca, morocco",arabic7,arabic,female,21,morocco
21,21,21.0,17.0,"casablanca, morocco",arabic8,arabic,male,22,morocco
22,22,28.0,4.0,"jerusalem, israel",arabic9,arabic,female,23,israel
23,23,19.0,9.0,"yerevan, armenia",armenian1,armenian,female,24,armenia
24,24,24.0,14.0,"naxcivan, azerbaijan",azerbaijani1,azerbaijani,male,25,azerbaijan
25,25,40.0,30.0,"douala, cameroon",bafang1,bafang,male,26,cameroon
26,26,31.0,29.0,"conakry, guinea",baga1,baga,male,27,guinea
27,27,43.0,40.0,"jianchuan, yunnan, china",bai1,bai,female,28,china
